"Source","Citation"
"2021 PLD 69","2013 CLC 406"
"2021 PLD 69","2017 YLR 150"
"2021 PLD 69","Ashfaq Bhatti and others (PLD 2019 Islamabad 238"
"2021 SCMR 194","Deputy Director (Non-Technical) (BS-18) close"
"2021 SCMR 194","(respondents)"
"2021 SCMR 194","(DPC)"
"2021 SCMR 194","2001-2002"
"2021 PTD 281","06-2008"
"2021 PTD 281","06-2008"
"2021 PTD 281",", 2005"
"2021 PTD 281","rate of"
"2021 PTD 281","Federal Excise"
"2021 PTD 281","ultra vires section 10 of the Federal Excise Act, 2005 ? \n(iv)"
"2021 PTD 281",". \n Issue No. (i): \n10.\n Section 41 of the FE Act"
"2021 PTD 281","2018 SCMR 1444"
"2021 PTD 281","Suit No. 1479/2008"
"2021 PTD 281","-06-2008"
"2021 PTD 281","C.P. No. D-2867/2018"
"2021 PTD 281","-03-2020"
"2021 PTD 281","2020 PTD 1927"
"2021 PTD 281","2019 SCMR 1081"
"2021 PTD 281","2019 SCMR 1111"
"2021 PTD 281","Rule 40 of the FE Rules"
"2021 PTD 281","2000, section 2(xxvii) whereof defines 
2021 PTD 281|Notification No. SRO 561(I)/2006 dated 05-06-2006
2021 PTD 281|Rule 40 of the FE Rules
2021 PTD 281|Federal Board of
2021 PTD 281|2019 SCMR 1081
2021 PTD 281|2019 SCMR 282
2021 PTD 281|2009 SCMR 1279
2021 SCMR 92|the Police Rules, 1934"
"2021 SCMR 176","FIR No.68/2020"
"2021 SCMR 176","Cr.P.C. Further"
"2021 SCMR 176","in criminal"
"2021 SCMR 176","1980 SCMR 203"
"2021 SCMR 176","1990 SCMR 307"
"2021 SCMR 176","2007 SCMR 1793"
"2021 SCMR 176","2007 SCMR 1793"
"2021 YLR 343","Trust Property bearing No."
"2021 YLR 343","(E.Z)"
"2021 YLR 343","Demand No.1- 1111-1-2893-0"
"2021 YLR 343","situated at Haider Road, Karishan Nagar, Lahore.\n 2."
"2021 YLR 343","Revision Petition.\n 3"
"2021 YLR 343","2002 SCMR 1336"
"2021 YLR 343","2008 SCMR 1611"
"2021 SCMR 381","FIR No.28/2014"
"2021 SCMR 381","1995 SCMR 1345"
"2021 SCMR 381","FIR No. 28/2014"
"2021 SCMR 494","Civil Appeals Nos. 228 and 234 of 2020"
"2021 SCMR 494","Constitutional Petition No. 1924-P of 2013"
"2021 SCMR 494","Constitutional Petition No. 196-P"
"2021 SCMR 494","C.A. No. 288 of 2020"
"2021 SCMR 494","Shrine), Khyber Pakhtunkhwa (hereinafter referred to"
"2021 SCMR 494","C.A. No 234 of 2020"
"2021 SCMR 494","Department, KP"
"2021 SCMR 494","C.A. No 228 of 2020"
"2021 SCMR 494","C.A. 234 of 2020"
"2021 SCMR 494","in the Peshawar High Court"
"2021 SCMR 494",", Khyber Pakhtunkhwa"
"2021 SCMR 494","Civil Appeal No. 687 of 2014"
"2021 SCMR 494","Learned Additional"
"2021 SCMR 494","Advocate General, KP"
"2021 SCMR 494","the language of the KP Regularization Act, 2009"
"2021 SCMR 494","Respondents as"
"2021 SCMR 494","reference:-\n 3. Regularization of Services of"
"2021 SCMR 494","certain employees.---All employees"
"2021 SCMR 63","Crl. M. B.A. No.2275-P/2020"
"2021 SCMR 63","FIR No.310/2020"
"2021 SCMR 63",": - (i) Sharing common intention. (ii) Role ascribed. (iii) Recovery of"
"2021 SCMR 63","(iv) Tentative assessment at this"
"2021 SCMR 87","PLD 1995 SC 34). Para No.09"
"2021 SCMR 87","2020 SCMR 1115"
"2021 SCMR 87","1976 SCMR 360"
"2021 SCMR 144","-National"
"2021 SCMR 144","of Pakistan (the Bank"
"2021 SCMR 144","2020 SCMR 1154"
"2021 SCMR 144","2020 SCMR 425"
"2021 SCMR 144","Civil Appeal No.1661 of 2019"
"2021 SCMR 354","FIR No.232"
"2021 SCMR 354","302(b), P.P.C."
"2021 SCMR 354","Murder Reference"
"2021 SCMR 354","FIR but"
"2021 SCMR 354","(PW-6)"
"2021 SCMR 354","FIR and"
"2021 SCMR 328","Civil Petitions Nos.1554-L to 1564-L"
"2021 SCMR 328","and 1570-L of2020.\n \nSYED MANSOOR ALI SHAH"
"2021 SCMR 328","Civil Petition No.1554-L/2020"
"2021 SCMR 328","Civil Service Pension Rules, 1955"
"2021 SCMR 328","Civil Establishment Code (ESTA CODE)"
"2021 SCMR 328","servant but that he shall also"
"2021 SCMR 328","Service Regulations (CSR)"
"2021 SCMR 328",", 1939"
"2021 SCMR 328","Provided that \n (1)"
"2021 SCMR 328","the 10th January"
"2021 SCMR 328","PLD 1973-SC-514"
"2021 SCMR 328","was issued"
"2021 SCMR 328","b)"
"2021 SCMR 328",".\n(b)\n Clause (b) ibid empowers the Government to order"
"2021 SCMR 328","PLD 1973 SC 514, may"
"2021 SCMR 328","Civil Establishment Code (ESTACODE)"
"2021 CLC 204","from 19.7.2017 to 10.3.2018, i.e. for"
"2021 CLC 204","Respondent No.2. Secondly,"
"2021 CLC 204","Human Rights"
"2021 CLC 204","(i)"
"2021 CLC 204","the Bill of Rights]"
"2021 CLC 204","116 US 616 (1886)]"
"2021 CLC 204","381 US 479 (1965)]"
"2021 CLC 204","405 US 438 (1972)]"
"2021 CLC 204","389 US 347 (1967)"
"2021 CLC 204","388 US 1 (1967)]"
"2021 CLC 204","505 US 833 (1992)]"
"2021 CLC 204","539 US 558 (2003)]"
"2021 CLC 204","576 US 644"
"2021 CLC 204","(NASA) v. Nelson [562 US 134 (2011)]"
"2021 CLC 204","569 US 435 (2013)]"
"2021 CLC 204","AIR 1954 SC 300"
"2021 CLC 204","1954 SCR 1077"
"2021 CLC 204","Registrar of Joint Stock Companies lodged FIR"
"2021 CLC 204","AIR 1963 SC 1295"
"2021 CLC 204","(1975) 2 SCC 148]"
"2021 CLC 204","(2017) 10 SCC 1]"
"2021 CLC 204","2018 AIR SC 4321"
"2021 CLC 204","PLD 1987 SC 504"
"2021 CLC 204","PLD 1998 SC 388"
"2021 CLC 204","PLD 2013 Lah. 413"
"2021 CLC 204","1994 SCMR 1028"
"2021 CLC 204","Human Rights Commission of Pakistan (PLD 2015 SC 42"
"2021 CLC 204","PLD 2017 Lahore 1"
"2021 CLC 204","Fundamental Rights"
"2021 CLC 204","through Chairman and others (PLD 2020 SC 456"
"2021 CLC 204",27
"2021 CLC 204","PLD 1998 SC 388"
"2021 SCMR 23","Criminal Appeal No.9-L of 2020"
"2021 SCMR 23","Criminal Petition No.223-L of 2014"
"2021 SCMR 23","Criminal Petition No.223-L of 2014"
"2021 SCMR 23","FIR No.283/2008"
"2021 SCMR 23","Crl Petition No.223-L of 2014"
"2021 SCMR 23","at about"
"2021 SCMR 16","FIR No. 640"
"2021 SCMR 16","(PW3)"
"2021 SCMR 16","PW 1"
"2021 SCMR 16","Muhammad Ahmad (PW1), Inam ul Haque (PW2)"
"2021 SCMR 16","(PW3"
"2021 SCMR 16","Criminal Petition No. 92-L of 2014"
"2021 MLD 442","Writ Petition No.70599 of 2019"
"2021 MLD 442","2017 CLC 561"
"2021 CLD 25","clause of subsection (6)"
"2021 SCMR 420","2020 SCMR 1708"
"2021 SCMR 420","PLD 2010 SC 695"
"2021 SCMR 420","2007 PLC (C.S.) 271"
"2021 SCMR 420","2007 SCMR 562"
"2021 SCMR 420","2006 SCMR 1894"
"2021 SCMR 420","2004 SCMR 192"
"2021 SCMR 420","PLD 2002 SC 13"
"2021 SCMR 420","1993 SCMR 2177"
"2021 SCMR 420","1994 SCMR 1608"
"2021 SCMR 420","1990 SCMR 1556"
"2021 SCMR 420","1989 SCMR 316"
"2021 SCMR 420","and another (PLD 1987 SC 195"
"2021 SCMR 420","PLD 1985 SC 134"
"2021 SCMR 420","PLD 1982 SC 413"
"2021 SCMR 420","Tribunal.\n4"
"2021 SCMR 19","2019 SCMR 1726"
"2021 SCMR 19","2020 SCMR 214"
"2021 SCMR 408","PLD 2005 SC 173"
"2021 PLC 79","W.P. No. 327/2020"
"2021 PLC 79","342 of 2020"
"2021 SCMR 302","FIR No.411"
"2021 SCMR 305","Notification No."
"2021 SCMR 305","-3/2011"
"2021 SCMR 305","Article 174 of the Constitution"
"2021 SCMR 305",":\n To distinguish where the directions of the legislature are imperative and where they are directory, the real question is whether a thing has been"
"2021 SCMR 305","Ltd. v. Hilli Multipurpose Cold Storage Pvt. Ltd.\n5"
"2021 SCMR 305","use of peremptory language in a negative"
